delist_tab,month_count,_201901,_201902,_201903,_201904,_201905,_201911,_201912,_202007,_202008,_202009,_202010,_202011,_202012,_202101,_202102,_202103,_202104,_202105,_202106,_202107,_202108,_202109,_202110,_202111,_202112,_202201,_202202,_202203,_202204,_202205,_202206,_202207,_202208,_202209,_202210,_202211,_202212,_202301,_202302,_202303,_202304,_202305,_201906,_201907,_201908,_201909,_201910,_202001,_202003,_202004,_202005,_202006,_202002,pfc5_count,atc_count,max_audit,min_audit,median_audit,audit_now,max_prv,min_prv,median_prv,prv_now,max_city,min_city,median_city,city_now,atc1_1,atc1_2,atc1_3,atc1_4,atc1_5,atc1_6,atc1_7,atc1_8,atc1_9,atc1_10,atc1_11,atc1_12,atc1_13,atc1_14,atc1_15,atc1_16,mnflg_1,mnflg_2,vbp_flag_1,vbp_flag_2,VBP_Batch_1,VBP_Batch_2,VBP_Batch_3,VBP_Batch_4,VBP_Batch_5,VBP_Batch_6,VBP_Batch_7,VBP_Batch_8,VBP_Batch_9,VBP_Batch_10,VBP_Batch_11,VBP_Batch_12,VBP_time_1,VBP_time_2,VBP_time_3,VBP_time_4,VBP_time_5,VBP_time_6,VBP_time_7,NRDL_1,NRDL_2,NRDL_LIMTT_1,ENTRY_TIME_1,ENTRY_TIME_2,ENTRY_TIME_3,ENTRY_TIME_4
1,0.5384615384615384,0.007212389587571192,0.007822890472087604,0.008618762966698596,0.00941830805635109,0.0109573877282952,0.006217264564619066,0.0026800031278952584,0.00034414230837481405,0.0002376831601823425,0.0002074348096738962,0.00022851139288346373,0.0001089352010678597,0.0002067466748094043,7.220556677081396e-05,0.00019791728127875217,9.865365170558984e-05,0.00021599559993625356,0.00011333543905634678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01066287498253148,0.017888081827541695,0.011772495371079916,0.01168084133247161,0.012277415213754427,0.0016250423953526577,0.0007337457229967336,0.0004378343525982485,0.0001260796011936327,0.00015010832743573278,0.00025767709779913846,0.37037037037037035,0.010454344949272167,0.4107142857142857,0.0,0.08928571428571427,0.0,0.4666666666666667,0.0,0.13333333333333333,0.0,0.10887096774193548,0.0,0.02222222222222222,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True
1,0.2884615384615385,4.720311410098813e-05,1.7547021939114225e-05,2.8345826110023463e-06,2.9147404162517947e-05,0.0,3.7970480077270236e-06,1.2035567261188576e-05,0.0,0.0,2.6187322348263792e-05,6.560169695957794e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4628337689917e-06,6.943081157695288e-06,1.6985145070872938e-05,2.4433757175525256e-05,1.4478200106501327e-05,5.6524669665198075e-06,0.0,0.0,1.7087246514931184e-05,0.0,9.500915150150185e-06,0.037037037037037035,0.00141155712395236,0.05357142857142857,0.0,0.0,0.0,0.06666666666666668,0.0,0.0,0.0,0.012096774193548387,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True
1,0.44230769230769235,0.0002448623521562345,0.000244193270077762,0.00018436912196496768,0.000144082663566023,0.00022131894785267176,0.0001412150734004921,0.0002518717802535704,0.00020612469855747396,0.00029321408283897437,0.00039278035280806815,0.00034580111844044833,0.00018655301232126735,0.00028205098773767567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002486731974546562,0.00023591091849633805,0.00021716917334505478,0.0003414098423044939,0.0003359128409492284,0.00027042800621607547,0.00012983097948124695,0.0003113075363948289,0.00015199728158182496,0.00011448272626156724,0.00044137404136228504,0.037037037037037035,0.00141155712395236,0.23214285714285715,0.08928571428571427,0.125,0.0,0.2,0.10344827586206896,0.16666666666666669,0.0,0.07258064516129033,0.02659574468085106,0.04,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True
1,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5898841114922486e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.085481312432523e-06,0.0,6.410639636223952e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18518518518518517,0.048257609175121306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True
1,0.0,8.99057555482353e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18518518518518517,0.048257609175121306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6721115642216216e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2962962962962963,0.02375385972651081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True
1,0.25000000000000006,3.716519352766728e-06,2.746248195550258e-06,8.163935050744696e-06,1.3789092690859007e-06,9.737442366323394e-06,0.0,4.303869416263145e-06,2.733577713832385e-06,0.0,0.0,0.0,0.0,2.0559170629051004e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.715426143566918e-07,0.0,2.454681100260878e-07,1.5900333794425062e-06,0.0,0.0,1.9816561880879744e-06,2.7977720495123464e-06,4.872077031590252e-07,0.0,0.0,0.037037037037037035,0.00141155712395236,0.03571428571428571,0.0,0.0,0.0,0.06666666666666668,0.0,0.0,0.0,0.008064516129032258,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True
1,0.1153846153846154,3.605908657743909e-05,4.2781310632507065e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2201580480887674e-05,5.716491770291311e-06,0.0,6.123931849071173e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.102596949713947e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.2534018781815312e-05,0.0,0.0,0.0,0.037037037037037035,0.006285840317600353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True
1,0.13461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005097592829868227,0.000412387011858374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003350715030689243,0.0005195452558189966,0.0004229032818928867,0.0003536080325448459,0.0002729052591747968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000740739621881065,0.2962962962962963,0.020247022496691663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True
1,0.673076923076923,0.00024358645778914628,0.00016187099886417098,0.00010111709737980557,7.244131563394732e-05,0.00030034562030508257,8.894564543863952e-05,7.881969772010159e-05,0.00011733608978854131,0.0001263781214846172,0.0001018584360361752,0.00012155600810097834,5.288654621765375e-05,6.041654942190456e-06,5.325412241925509e-06,1.0729710835263605e-05,8.003655767820369e-06,7.199513063841171e-06,8.173130721642152e-06,7.230613818939036e-06,7.4807936261186e-06,8.391378040863513e-06,6.783862143056678e-06,1.0033814672472463e-05,8.497072161069648e-06,1.234912074225457e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026974263137343466,8.813664626449287e-05,0.00011649354837518574,7.944561479999288e-05,0.00010341087807952874,7.448256742698315e-05,0.00016953887773650365,0.00011968048148012628,0.00013201847380836466,0.00012076519481092901,0.00033697189198887874,0.2962962962962963,0.020247022496691663,0.07142857142857142,0.0,0.017857142857142856,0.0,0.13333333333333333,0.0,0.03333333333333333,0.0,0.016129032258064516,0.0,0.0044444444444444444,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True
